"ft_barack_obama_pre","ft_barack_obama_post","ft_mitt_romney_pre","ft_mitt_romney_post","ft_joe_biden_pre","ft_joe_biden_post","ft_paul_ryan_pre","ft_paul_ryan_post","ft_gay"
85,85,60,40,70,85,50,0,70
50,40,70,70,40,40,70,50,30
70,70,30,40,60,60,NA,NA,60
70,60,70,50,60,50,70,50,50
95,100,0,5,90,100,5,5,100
70,NA,50,NA,NA,NA,NA,NA,NA
85,85,40,60,85,85,15,15,70
100,100,15,50,85,85,0,0,30
100,100,15,0,40,50,30,50,30
0,0,85,85,30,50,100,100,50
85,85,30,30,50,60,NA,50,50
70,40,70,70,50,50,NA,NA,70
100,100,0,15,100,100,50,30,100
85,100,0,70,NA,70,NA,NA,70
85,NA,15,NA,0,NA,50,NA,NA
100,NA,15,NA,70,NA,0,NA,NA
85,85,50,70,60,85,60,60,60
85,60,60,40,70,60,50,50,100
100,85,0,30,85,85,15,15,50
100,85,15,30,85,85,15,30,50
70,70,30,60,50,60,60,50,60
0,15,100,85,0,0,70,85,NA
85,85,40,40,80,85,15,30,100
70,70,70,70,70,70,50,70,40
85,70,30,40,NA,50,NA,50,50
60,70,50,50,60,50,NA,50,70
15,NA,60,NA,15,NA,50,NA,NA
70,70,15,30,NA,NA,15,NA,100
60,60,50,NA,NA,NA,NA,NA,50
10,100,0,50,85,85,50,50,50
50,60,0,0,15,NA,15,NA,40
0,NA,0,NA,0,NA,0,NA,NA
85,85,30,40,40,30,60,60,15
70,70,30,50,50,50,15,30,60
85,85,15,15,85,85,15,15,85
85,100,40,50,70,50,NA,50,50
85,85,30,50,50,70,40,NA,70
80,NA,50,NA,NA,NA,NA,NA,NA
60,85,30,60,60,50,50,70,85
70,85,40,50,NA,50,NA,NA,100
85,85,60,60,70,60,50,50,85
60,60,50,40,50,60,60,60,50
100,100,0,0,NA,50,NA,50,50
85,100,30,60,60,70,50,60,50
85,100,50,60,70,85,60,70,60
85,85,30,40,50,50,NA,50,85
100,100,0,70,50,NA,60,60,100
85,100,50,50,50,NA,50,NA,50
85,85,0,15,NA,NA,50,NA,100
85,NA,70,NA,NA,NA,NA,NA,NA
60,100,0,0,NA,NA,NA,NA,70
5,50,NA,NA,NA,NA,NA,NA,50
30,50,70,50,NA,50,NA,60,60
85,85,60,50,70,70,30,70,70
60,30,60,70,60,70,70,70,100
85,60,15,15,50,60,60,0,50
70,85,50,85,70,85,NA,NA,85
100,85,0,15,NA,70,NA,NA,50
60,60,40,15,NA,50,50,50,60
60,50,60,40,NA,70,NA,NA,0
70,85,40,40,60,60,NA,NA,85
85,85,0,0,60,70,0,15,85
70,85,NA,15,NA,NA,NA,NA,60
100,100,50,50,50,50,50,60,70
60,60,40,40,60,60,60,40,50
85,100,50,0,NA,70,NA,50,50
70,85,40,60,NA,70,NA,NA,50
95,100,NA,70,NA,NA,NA,NA,85
85,85,40,70,70,70,0,70,60
50,100,40,85,NA,70,NA,NA,60
50,60,60,60,NA,NA,NA,NA,50
15,60,30,70,50,50,50,50,50
70,70,50,15,50,40,50,NA,0
100,NA,0,NA,100,NA,30,NA,NA
85,NA,50,NA,70,NA,50,NA,NA
40,NA,60,NA,30,NA,60,NA,NA
100,100,0,30,NA,50,NA,50,0
100,NA,0,NA,70,NA,0,NA,NA
100,100,0,30,30,50,50,50,100
40,60,30,0,30,0,30,15,85
0,15,85,85,0,15,85,85,50
0,15,70,100,15,15,85,85,50
50,50,50,50,50,50,NA,50,50
15,30,50,70,15,30,70,85,40
100,100,0,15,85,100,0,15,100
100,100,25,15,50,100,0,15,80
0,NA,50,NA,0,0,0,0,50
50,NA,60,NA,0,NA,50,NA,NA
100,100,50,0,100,100,NA,0,50
30,30,85,70,40,40,70,50,50
50,60,15,15,40,50,50,50,30
85,85,15,50,70,85,30,NA,85
100,100,0,0,100,100,60,50,70
100,NA,0,NA,0,NA,0,NA,NA
100,100,0,0,85,100,50,0,60
100,100,15,0,85,100,50,15,50
100,100,15,50,85,70,30,50,50
30,40,85,40,0,15,85,60,60
0,0,85,100,15,0,85,100,85
85,90,0,10,60,70,50,50,50
85,100,15,15,NA,70,NA,50,15
100,85,30,30,50,50,50,50,40
60,100,15,40,NA,50,NA,50,100
85,75,15,50,85,75,50,30,50
70,85,50,40,60,70,NA,50,85
85,85,60,40,50,60,NA,40,50
40,40,70,60,40,30,50,60,50
70,85,50,50,60,70,50,50,50
100,90,0,20,NA,NA,NA,NA,NA
70,NA,30,NA,NA,NA,NA,NA,NA
100,100,0,2,50,25,50,50,100
70,80,30,50,40,80,15,NA,75
NA,85,50,50,NA,85,NA,50,50
85,85,50,0,NA,85,NA,15,50
75,85,60,75,50,75,50,75,100
85,100,60,70,100,85,100,85,100
50,50,70,100,40,50,60,50,50
50,50,85,85,NA,40,NA,70,70
15,50,70,50,NA,50,NA,40,50
50,100,NA,0,NA,NA,NA,NA,NA
60,50,70,50,NA,50,NA,50,50
85,100,0,40,85,100,0,50,100
85,100,30,70,85,100,NA,70,100
100,100,0,50,70,100,15,NA,60
70,90,15,10,50,50,50,0,50
51,60,0,0,50,NA,50,0,50
0,0,50,50,0,0,40,50,0
90,90,0,0,80,50,10,0,100
100,100,50,15,100,NA,70,50,85
70,85,15,40,60,70,0,50,85
30,30,50,85,15,0,50,85,0
60,75,60,65,50,75,40,65,75
50,0,50,0,40,10,30,5,0
60,60,0,40,15,50,10,40,60
85,75,15,25,60,60,60,60,60
45,100,20,0,20,60,0,40,0
0,15,100,85,NA,50,NA,50,40
70,70,0,0,60,60,0,15,85
0,0,70,85,0,0,85,85,30
70,NA,65,NA,60,NA,50,NA,NA
100,100,15,15,50,85,50,15,85
0,0,70,85,60,50,85,85,60
0,40,85,70,50,50,60,50,0
0,NA,85,NA,0,NA,85,NA,NA
85,70,30,40,30,40,30,40,60
30,60,70,70,50,60,60,70,60
15,30,70,85,30,60,85,85,50
0,15,85,70,30,30,70,70,60
15,15,70,60,15,15,70,60,40
60,60,40,60,60,70,40,40,50
15,15,85,85,15,50,85,50,40
100,100,0,0,NA,NA,NA,NA,85
15,NA,100,NA,15,NA,100,NA,NA
85,100,15,15,NA,70,NA,50,0
15,15,85,70,0,0,70,85,100
70,85,60,30,70,70,50,40,40
80,85,50,50,50,70,NA,NA,85
50,70,NA,50,NA,50,NA,NA,50
85,85,30,40,70,85,50,30,50
60,60,0,15,50,60,0,30,40
100,85,0,50,100,60,0,50,85
100,100,15,50,50,NA,NA,NA,0
60,60,60,50,60,60,NA,50,100
50,60,60,60,50,60,60,50,50
100,100,30,30,NA,50,NA,50,0
85,85,15,15,70,85,15,15,100
70,100,60,40,NA,50,NA,40,100
100,100,30,50,85,85,0,40,70
100,100,50,0,NA,70,NA,50,50
85,100,30,0,70,100,NA,0,70
100,100,0,0,100,100,0,0,100
40,0,70,100,0,0,70,100,0
70,70,50,40,60,60,50,40,50
40,70,70,85,30,40,60,70,100
10,15,10,15,0,0,15,50,100
50,100,85,0,NA,50,85,0,50
0,NA,70,NA,0,NA,70,NA,NA
70,NA,40,NA,40,NA,40,NA,NA
70,60,50,50,60,60,NA,50,60
100,100,15,50,NA,50,NA,70,100
100,100,50,50,85,100,50,50,100
85,100,15,0,NA,50,NA,50,85
70,NA,50,NA,NA,NA,NA,NA,NA
50,100,40,50,50,59,NA,NA,85
100,100,0,40,60,60,30,60,60
40,30,70,60,30,15,85,85,40
2,40,100,85,4,40,99,85,50
85,85,40,30,60,50,30,30,50
60,60,40,70,50,50,50,50,70
15,10,65,80,40,5,70,70,50
70,70,0,30,70,70,0,50,50
40,70,70,100,30,15,60,60,85
0,30,50,50,NA,40,NA,NA,50
70,70,30,60,50,NA,NA,NA,60
50,95,NA,0,40,NA,NA,NA,0
40,NA,85,NA,15,NA,70,NA,NA
85,85,60,70,70,70,NA,30,60
70,60,30,40,NA,50,NA,NA,100
30,30,70,60,50,70,70,70,50
85,85,40,30,85,85,30,40,70
60,50,85,70,50,60,60,60,50
70,70,40,40,50,40,40,30,85
15,15,50,70,50,60,50,40,50
0,60,60,85,20,50,70,100,85
15,15,85,85,0,0,70,100,70
85,90,15,20,70,75,40,30,75
40,50,40,50,NA,NA,NA,NA,NA
40,30,40,50,50,50,50,50,50
85,85,60,40,70,70,30,15,40
30,0,85,70,0,0,85,70,40
100,100,50,70,85,100,50,50,40
70,60,70,70,50,70,0,15,50
50,50,NA,NA,NA,NA,NA,NA,50
15,0,85,85,0,0,70,40,100
30,60,70,70,50,50,50,NA,0
15,30,40,70,0,15,70,85,50
15,60,50,15,NA,NA,NA,NA,0
100,100,0,0,40,100,NA,0,100
85,85,30,0,NA,NA,NA,NA,100
70,70,40,30,50,60,50,50,50
100,100,0,0,NA,NA,NA,NA,30
50,50,50,50,50,50,NA,NA,50
70,85,0,70,NA,NA,60,70,30
85,85,0,15,50,70,50,15,70
30,40,30,100,50,60,50,85,70
85,85,15,0,100,100,50,0,100
85,100,40,30,50,50,50,30,15
15,0,85,70,15,0,85,85,0
40,30,60,85,50,3,NA,70,50
100,100,50,50,100,100,50,NA,100
100,100,50,60,100,50,50,50,60
100,100,15,50,NA,50,NA,70,50
100,100,0,50,70,85,0,0,50
100,100,0,50,40,70,30,NA,60
70,85,40,50,60,85,50,60,85
100,100,30,50,85,85,30,30,50
100,100,15,15,70,60,0,30,50
50,60,50,85,50,60,60,60,60
100,100,15,0,85,85,30,15,50
100,100,1,0,100,100,1,0,100
100,NA,0,NA,30,NA,NA,NA,NA
100,100,50,0,NA,60,NA,NA,NA
100,100,0,0,70,100,0,0,100
100,100,0,0,100,100,0,0,50
100,100,15,0,NA,90,NA,0,75
100,100,0,0,100,100,0,0,50
100,100,0,40,100,100,0,NA,70
98,93,15,15,100,90,20,15,50
85,85,40,70,70,70,40,60,50
100,100,30,10,100,95,15,10,50
100,100,15,50,100,100,15,50,50
100,100,0,50,70,70,0,50,60
100,100,40,40,85,85,50,30,50
70,85,0,0,50,50,0,0,50
100,100,50,50,85,85,50,60,50
85,90,50,60,40,85,60,60,40
99,100,49,50,75,100,46,50,0
100,100,15,15,100,100,15,15,85
100,100,0,0,100,85,0,NA,0
100,100,50,0,NA,100,NA,0,50
100,100,50,50,100,100,50,50,100
85,100,15,40,85,70,NA,70,70
100,100,0,0,100,70,0,50,15
70,85,15,40,60,70,15,0,40
85,85,15,30,85,75,15,25,50
100,100,0,0,100,100,0,15,70
100,100,50,0,50,85,50,50,50
100,90,0,40,85,75,30,65,85
100,100,50,30,NA,85,NA,60,0
100,100,0,30,85,85,0,0,100
100,100,0,0,NA,100,NA,0,60
100,85,50,0,85,85,NA,NA,50
85,85,0,0,85,60,0,0,50
70,85,50,50,50,70,50,NA,100
85,NA,40,NA,50,NA,40,NA,NA
100,100,0,0,85,100,0,0,50
85,100,50,0,70,100,60,0,0
85,100,30,15,85,0,0,0,50
100,100,50,50,50,70,50,50,50
100,100,15,30,85,85,NA,30,70
100,100,60,15,NA,50,NA,NA,85
100,100,40,50,85,85,15,60,50
70,0,70,100,60,70,NA,NA,30
40,15,85,70,40,40,60,50,50
50,0,100,100,60,30,85,50,60
70,70,60,60,70,85,50,60,60
100,100,0,0,85,100,0,0,85
70,100,15,70,NA,60,NA,60,30
85,100,40,50,70,100,50,70,100
100,100,30,0,40,NA,40,40,70
85,85,50,40,50,70,NA,40,50
85,100,30,15,NA,70,40,NA,50
70,70,40,50,60,85,40,50,50
85,100,30,70,NA,NA,NA,NA,0
85,70,70,60,70,70,85,70,100
60,60,30,40,NA,50,NA,NA,40
100,100,50,0,100,100,15,9,50
60,60,60,70,50,60,NA,NA,50
100,100,70,30,NA,NA,NA,NA,50
50,60,30,50,60,60,30,40,50
40,60,60,85,30,30,30,60,50
100,100,85,60,90,80,NA,70,NA
70,60,15,30,85,70,0,15,50
50,50,50,50,NA,50,NA,50,50
60,70,70,85,50,60,NA,70,50
70,85,60,70,60,50,NA,50,50
85,85,0,0,70,85,0,0,50
100,85,30,30,85,85,30,15,85
40,85,85,100,40,70,60,70,85
70,50,70,60,50,50,60,50,50
60,50,60,60,40,50,50,50,50
40,60,50,60,50,50,50,50,50
85,95,0,0,85,90,0,0,50
0,0,85,85,30,30,NA,70,15
50,50,50,50,NA,50,NA,50,100
70,70,70,70,40,50,50,60,30
30,NA,70,NA,15,NA,85,NA,NA
0,0,100,100,0,0,100,100,70
100,100,0,15,80,85,NA,NA,70
100,100,0,0,50,70,0,50,50
85,85,30,40,85,85,70,60,60
40,30,60,40,15,15,85,60,40
75,85,20,50,50,70,30,50,50
100,100,0,30,50,85,NA,NA,70
100,100,0,0,70,70,15,0,85
100,100,0,0,70,85,NA,15,50
85,100,30,0,NA,70,NA,0,100
100,85,15,30,50,85,0,15,100
70,85,30,60,70,85,15,30,50
85,85,30,60,70,70,15,60,85
100,100,0,0,85,100,0,0,85
70,70,70,70,50,50,50,50,100
85,85,30,15,85,85,50,50,85
70,85,30,30,70,85,15,15,85
85,85,60,50,85,70,50,50,40
85,70,0,0,50,70,0,0,70
85,85,0,30,70,85,0,15,85
100,100,30,60,100,100,30,50,60
85,100,50,50,85,70,40,50,40
60,60,0,0,30,70,0,0,85
100,100,0,0,100,100,0,0,70
90,100,40,0,90,100,40,50,70
60,60,50,60,60,50,40,50,50
85,100,15,30,70,85,15,40,50
85,85,0,0,NA,50,NA,50,0
100,100,0,40,15,50,50,50,50
85,85,15,30,60,50,30,15,60
0,15,60,75,0,15,NA,85,30
70,85,40,40,60,70,1,50,60
60,60,15,30,50,60,50,NA,30
70,85,0,30,60,70,0,NA,50
85,100,15,15,50,NA,NA,NA,70
15,40,70,70,0,30,60,50,50
50,0,50,85,0,0,70,70,0
100,100,30,0,60,60,50,60,70
100,85,0,15,70,50,50,50,0
60,50,70,70,50,40,50,70,50
0,0,100,85,0,0,100,85,0
0,0,85,85,0,0,85,75,NA
50,0,50,0,NA,NA,NA,NA,NA
40,50,70,70,50,40,NA,50,40
40,15,30,85,NA,50,50,NA,50
0,NA,100,NA,NA,NA,NA,NA,NA
1,30,85,70,0,30,70,70,0
0,NA,85,NA,15,NA,70,NA,NA
85,100,40,30,100,100,15,30,0
85,85,30,15,50,60,60,60,100
0,0,85,85,15,15,85,85,50
85,NA,40,NA,60,NA,50,NA,NA
100,100,40,50,50,85,50,50,0
100,100,15,15,85,85,15,15,0
70,85,15,15,70,70,15,NA,30
0,30,100,100,70,15,70,NA,0
60,50,50,70,40,NA,40,40,50
40,15,50,40,15,15,60,70,50
75,NA,75,NA,65,NA,65,NA,NA
0,0,85,100,15,15,100,100,60
30,30,70,85,15,15,60,50,15
60,85,30,15,NA,NA,NA,NA,85
50,50,60,70,50,50,50,50,100
40,40,15,40,30,40,40,60,50
60,40,60,60,50,30,NA,NA,40
50,70,50,70,50,NA,50,NA,85
40,50,60,85,60,50,60,60,30
70,85,40,60,60,60,50,50,70
0,0,85,100,NA,15,NA,85,15
15,15,100,85,15,15,100,85,50
100,100,50,60,85,85,40,70,60
15,10,100,98,0,10,85,98,50
100,100,15,0,100,100,50,30,70
100,100,0,0,85,85,0,0,50
70,70,85,85,60,60,70,60,40
40,50,85,85,30,85,85,85,60
60,60,40,40,40,60,40,40,40
85,NA,15,NA,100,NA,0,NA,NA
70,60,70,85,70,40,50,60,70
100,100,30,15,85,100,0,0,50
85,85,30,30,70,70,15,30,70
85,85,70,70,60,70,60,50,0
60,50,30,30,50,50,50,50,50
100,100,15,15,85,100,30,30,70
70,70,0,0,70,60,0,0,50
85,100,15,15,85,85,15,15,70
40,NA,30,NA,70,NA,15,NA,NA
100,100,40,15,85,85,NA,NA,85
100,85,0,0,50,15,NA,15,50
85,85,0,50,70,70,NA,50,85
85,100,0,0,85,80,15,40,100
100,100,0,0,NA,50,NA,50,70
100,100,0,0,100,85,15,0,70
0,100,100,85,0,85,85,85,85
100,100,0,40,100,85,0,40,85
85,85,50,50,70,85,50,60,50
60,70,60,0,60,70,50,60,0
50,50,50,50,50,50,NA,50,60
100,100,0,15,60,85,0,0,70
80,60,30,45,70,60,50,40,85
50,40,50,40,40,40,50,60,50
40,70,30,30,50,30,50,40,70
40,50,70,50,50,50,50,60,50
15,15,100,85,0,0,100,85,30
35,30,92,80,30,30,90,85,50
70,NA,60,NA,50,NA,50,NA,NA
85,85,15,15,85,85,50,15,NA
70,85,0,15,70,70,NA,30,100
85,70,0,50,70,70,0,50,50
50,40,50,50,15,30,50,50,15
85,70,40,30,70,70,60,15,NA
85,85,30,50,50,85,15,50,50
85,70,0,0,85,70,15,15,50
50,70,85,40,60,50,NA,50,60
85,100,50,50,85,100,60,30,50
40,15,70,85,40,30,60,100,40
0,60,70,60,NA,50,NA,50,40
85,90,10,5,10,80,50,60,60
15,30,50,60,15,0,30,15,70
40,40,85,85,30,40,70,70,50
100,100,0,0,100,100,0,15,85
60,70,40,50,NA,50,NA,50,60
60,60,50,60,0,60,50,40,100
70,60,60,85,50,60,NA,60,60
60,50,60,60,70,50,NA,30,50
70,85,40,60,50,70,40,60,85
50,80,NA,NA,NA,NA,NA,NA,0
85,100,40,30,70,85,30,15,85
0,0,90,70,30,0,80,75,40
85,100,15,15,50,70,50,15,85
50,60,50,50,NA,50,NA,50,50
70,85,40,60,70,70,NA,NA,60
85,85,60,40,50,60,50,50,50
100,85,30,40,60,60,50,60,60
85,100,30,0,50,100,15,0,50
70,60,60,100,85,85,100,85,85
85,85,60,70,50,85,NA,50,70
85,85,15,15,85,85,0,0,70
85,85,0,30,70,70,NA,NA,50
45,71,100,89,30,40,99,85,85
70,100,15,0,70,100,0,0,50
85,85,15,40,70,70,15,40,70
100,100,50,0,100,100,50,50,50
100,100,70,15,85,85,50,30,0
85,85,15,60,70,85,15,60,0
100,100,0,0,85,85,NA,0,50
50,49,70,75,NA,NA,85,50,0
100,100,15,50,70,85,50,50,60
70,70,50,60,60,70,70,60,60
85,100,15,10,60,45,30,40,90
85,100,50,50,70,85,50,50,50
100,100,0,30,50,70,NA,50,50
100,100,0,0,85,100,15,0,50
50,85,15,30,40,60,0,60,0
100,100,50,50,85,100,NA,50,85
100,NA,0,NA,0,NA,0,NA,NA
100,100,50,30,100,70,40,30,50
85,100,0,0,85,85,0,0,40
100,100,40,50,100,100,NA,50,0
100,100,15,15,60,100,30,NA,0
85,70,50,50,85,70,50,70,70
100,100,50,0,100,100,0,85,100
85,85,40,40,70,70,40,40,40
100,100,50,0,NA,NA,60,NA,0
100,100,0,0,100,100,NA,0,0
100,85,40,0,100,85,40,0,100
100,100,0,0,85,85,0,0,0
100,100,0,0,100,100,0,50,100
100,100,50,50,100,100,NA,70,30
85,85,30,40,50,85,NA,50,30
75,100,50,30,75,70,50,50,0
100,100,15,0,85,70,0,0,85
100,100,0,0,30,85,0,70,70
85,100,15,0,70,85,15,15,70
85,85,NA,30,NA,NA,NA,NA,50
85,100,0,0,70,85,0,0,40
100,100,15,0,100,100,0,15,0
100,100,0,0,85,100,NA,0,70
85,85,50,60,70,85,50,50,50
100,NA,0,NA,0,NA,0,NA,NA
85,85,50,50,70,70,NA,NA,0
100,100,50,50,85,100,50,50,60
100,100,30,50,100,100,NA,70,60
85,100,50,50,85,100,50,50,50
100,100,40,40,100,85,40,50,40
85,100,60,50,50,NA,50,NA,50
100,100,0,50,85,100,15,50,15
100,NA,0,NA,100,NA,NA,NA,NA
100,100,40,0,85,85,0,0,50
40,50,60,70,30,50,60,70,60
60,70,40,0,60,70,30,0,50
0,0,70,85,0,15,70,85,50
15,15,85,85,40,NA,60,60,50
70,70,60,40,50,70,70,40,50
40,30,40,50,30,50,40,50,15
30,15,85,85,0,0,85,70,50
100,100,50,50,70,85,70,60,50
60,60,30,30,40,50,85,70,85
15,50,85,60,0,40,85,85,100
60,70,40,70,60,70,40,70,85
15,30,15,15,50,50,50,50,0
60,50,60,50,60,50,60,50,50
30,40,70,60,40,30,100,85,60
30,30,60,30,50,40,85,80,80
85,85,50,50,60,70,40,40,85
15,30,100,85,30,15,70,85,50
70,85,15,40,85,60,50,50,70
90,100,0,0,70,100,50,0,90
85,85,40,30,60,60,50,NA,100
70,60,40,60,60,50,50,50,60
70,70,70,70,60,60,40,50,60
100,100,15,30,100,100,0,15,85
80,85,0,0,60,70,30,30,70
30,40,85,85,30,30,85,70,60
0,0,15,0,15,0,30,NA,60
40,40,70,50,30,50,60,50,50
40,70,50,50,50,50,NA,NA,0
50,60,70,50,NA,60,NA,50,0
100,100,0,30,50,70,30,50,85
15,30,60,60,0,40,70,60,100
100,100,0,50,50,70,50,50,60
40,NA,85,NA,30,NA,100,NA,NA
100,100,15,0,70,100,99,NA,50
40,40,70,70,15,40,50,60,60
85,85,0,0,85,70,NA,50,NA
100,100,0,30,85,50,0,0,70
0,0,100,100,40,30,100,100,30
60,70,85,70,60,70,60,70,60
40,60,60,60,50,50,50,50,40
30,50,85,50,50,70,NA,50,0
60,50,100,85,30,30,85,50,50
40,30,40,60,NA,NA,NA,NA,50
50,50,85,85,40,50,85,85,15
15,50,85,85,15,50,50,40,15
100,100,0,0,100,100,0,0,50
0,0,100,85,15,0,50,50,85
0,50,50,50,0,50,50,50,50
15,15,85,85,0,15,85,85,85
0,0,70,40,0,0,70,40,15
85,100,0,15,60,70,0,15,50
60,85,15,15,NA,70,0,0,100
80,85,30,40,60,40,60,50,70
40,15,85,70,NA,50,NA,50,40
85,70,30,30,50,70,50,30,100
80,85,30,30,70,65,2,15,50
0,0,60,50,30,15,70,70,50
30,30,70,70,50,50,50,NA,70
40,60,50,50,15,0,40,30,70
60,60,50,40,50,50,NA,NA,30
70,85,40,30,70,60,30,15,70
85,70,NA,50,60,NA,NA,NA,50
51,85,49,30,NA,40,NA,50,50
85,100,50,50,70,70,50,50,50
85,100,30,30,70,40,50,60,70
70,60,50,30,70,60,70,30,40
85,85,0,0,70,85,0,15,85
100,NA,30,NA,100,NA,0,NA,NA
85,100,50,50,50,40,50,50,30
100,100,0,0,50,85,0,15,85
100,100,0,0,NA,NA,NA,NA,50
100,NA,50,NA,85,NA,50,NA,NA
85,85,15,30,70,85,15,NA,70
100,100,0,0,100,85,NA,NA,85
100,100,50,30,85,100,NA,50,85
100,100,30,50,85,85,40,70,85
100,100,0,0,100,100,NA,0,100
50,85,30,50,50,70,NA,NA,0
85,100,60,40,70,85,50,50,50
100,100,0,0,100,100,NA,NA,50
100,100,40,40,70,85,15,40,70
100,100,15,15,85,70,15,0,NA
100,100,50,0,85,85,NA,NA,50
100,85,60,50,70,85,50,50,50
100,100,15,50,85,85,15,50,60
100,100,0,40,90,85,NA,40,60
85,85,15,15,85,85,15,15,70
100,100,0,0,85,85,15,15,85
85,100,0,0,50,70,0,0,80
100,100,0,0,85,90,0,0,0
85,85,60,60,85,85,50,50,70
100,85,15,0,100,85,15,0,100
70,85,50,50,85,100,50,50,60
77,70,50,15,60,70,60,60,50
100,100,0,0,100,100,NA,0,60
90,85,10,30,85,80,15,20,70
100,100,15,50,85,100,15,40,50
85,NA,50,NA,60,NA,50,NA,NA
100,100,0,30,85,85,50,50,50
70,85,40,35,70,70,NA,40,65
85,NA,40,NA,60,NA,0,NA,NA
100,85,0,50,50,85,50,70,50
85,60,70,40,70,70,70,15,50
60,70,70,70,50,50,60,50,50
100,100,0,0,50,70,NA,NA,85
100,NA,0,NA,70,NA,50,NA,NA
100,85,0,40,50,85,NA,50,60
100,100,0,0,100,100,0,0,50
100,NA,60,NA,85,NA,60,NA,NA
100,100,NA,60,50,60,NA,60,15
100,100,30,40,100,100,40,50,50
100,100,0,40,100,60,0,60,30
100,100,0,50,NA,85,NA,50,NA
100,85,50,50,50,70,50,60,70
100,100,50,15,40,60,60,85,NA
100,100,60,60,85,100,50,60,85
100,100,70,40,85,100,60,NA,70
100,85,40,30,85,85,40,30,50
100,100,60,50,85,100,50,50,70
100,85,50,40,85,70,50,50,60
100,100,50,30,NA,50,NA,50,50
100,100,0,0,85,100,0,0,50
100,85,0,0,85,70,0,0,70
100,100,0,50,NA,NA,NA,NA,100
70,50,60,50,60,60,60,50,50
70,85,60,70,60,85,40,50,85
100,100,60,60,50,0,50,40,0
100,70,70,50,100,70,60,60,50
100,100,50,50,100,NA,50,NA,100
50,50,NA,50,50,50,NA,50,NA
100,100,15,40,15,60,15,NA,85
100,100,0,15,100,100,0,15,50
85,50,50,50,30,50,30,50,50
70,100,0,0,85,85,0,0,0
85,NA,60,NA,NA,NA,NA,NA,NA
100,100,40,50,85,60,50,50,70
100,100,0,0,NA,50,NA,50,70
85,50,50,50,85,50,50,50,50
100,100,40,50,100,100,15,30,50
100,100,50,0,NA,50,NA,50,50
100,100,0,50,40,85,30,NA,40
100,100,0,0,7,85,NA,85,0
70,100,50,50,70,100,30,50,50
85,85,70,60,60,70,60,60,85
100,100,40,50,100,100,0,50,100
100,100,0,0,60,85,30,0,100
100,NA,50,NA,60,NA,60,NA,NA
0,0,70,70,0,0,85,85,50
15,40,75,90,30,30,70,80,50
30,15,85,85,60,0,85,100,30
70,80,30,30,85,80,40,20,85
15,15,85,85,0,15,100,100,40
0,30,100,85,0,0,100,100,0
60,40,70,60,50,40,NA,50,50
30,40,30,40,30,50,50,50,100
60,60,70,85,40,60,70,100,50
40,40,80,70,50,40,90,85,50
60,60,50,50,40,55,60,65,65
15,40,85,70,0,15,85,85,30
30,30,85,70,15,15,85,70,85
0,0,70,85,60,40,50,70,50
5,5,40,55,5,5,70,95,65
75,85,25,30,75,70,0,0,50
40,70,70,70,40,70,70,85,60
100,100,15,0,NA,100,NA,NA,50
15,0,85,100,0,0,85,85,70
30,50,85,85,40,60,50,85,85
60,30,50,70,15,60,50,50,50
70,70,0,40,70,60,0,30,85
100,100,30,30,50,85,50,15,70
0,NA,100,NA,50,NA,50,NA,NA
85,85,30,40,0,50,15,60,85
100,85,50,15,40,70,0,15,60
100,NA,15,NA,70,NA,15,NA,NA
0,50,70,100,0,50,85,100,50
50,40,50,50,50,50,NA,50,50
60,100,70,85,70,85,85,85,70
85,100,NA,60,60,85,70,NA,50
70,85,NA,15,NA,NA,NA,NA,30
85,NA,60,NA,100,NA,0,NA,NA
100,100,30,50,70,85,30,50,50
100,100,0,15,100,100,0,15,50
100,100,50,15,85,85,50,40,50
100,100,50,50,100,100,0,60,0
100,100,50,0,50,NA,50,NA,60
100,100,100,0,NA,NA,100,NA,50
85,100,50,50,70,100,40,85,70
90,100,60,60,85,95,50,55,80
100,100,0,15,85,85,50,15,70
50,50,25,50,25,50,25,50,50
100,100,30,0,70,40,0,NA,40
85,100,0,50,85,85,0,NA,50
100,100,0,50,100,100,0,0,100
60,30,40,60,50,50,70,50,40
100,100,30,15,70,100,15,50,50
85,NA,15,NA,60,NA,50,NA,NA
85,NA,50,NA,NA,NA,40,NA,NA
100,100,0,35,50,50,50,NA,80
100,100,0,0,85,50,0,NA,60
60,100,70,60,50,50,50,50,0
85,100,0,10,85,98,0,0,80
85,100,40,60,70,70,50,70,70
90,80,50,30,80,70,50,30,90
95,100,20,40,70,70,20,40,85
85,100,50,50,50,85,50,70,70
100,100,0,15,85,100,50,15,50
100,100,50,0,100,NA,50,NA,70
0,0,100,100,0,0,100,100,100
70,85,50,50,50,60,50,50,85
60,70,70,30,NA,70,NA,15,15
90,8,50,5,50,5,NA,NA,5
85,80,50,NA,70,NA,50,NA,NA
70,100,50,60,NA,90,40,55,1
100,100,15,30,60,70,15,60,85
100,100,60,30,100,100,30,30,0
0,0,85,100,0,0,85,80,85
40,20,70,100,40,40,50,90,85
0,0,100,100,15,0,85,85,15
80,75,20,30,50,70,20,30,70
0,0,70,100,40,40,85,85,60
50,0,100,100,50,50,100,50,0
40,50,70,50,40,60,40,70,70
60,60,50,40,40,60,60,85,0
85,100,30,50,30,50,40,50,85
60,100,30,50,50,0,50,NA,50
50,50,85,50,15,50,85,50,50
